[9, 18, 9, 10, 6, 21, 18, 14, 4, 15];바닐라 어쿠스틱;끝이 아닌 것 같아서
[4, 1, 1, 1, 1, 9, 3, 6, 0, 2];디어클라우드;closer
[8, 8, 4, 12, 4, 20, 19, 18, 2, 11];디어클라우드;네 곁에 있어
[2, 3, 3, 4, 4, 11, 10, 7, 4, 8];디어클라우드;runaway
[6, 11, 7, 6, 7, 20, 19, 9, 3, 16];디어클라우드;21세기 히어로는 어디에
[6, 4, 2, 3, 6, 16, 19, 4, 2, 8];디어클라우드;wallflowers
[6, 7, 5, 5, 2, 17, 27, 3, 2, 15];디어클라우드;엄마의 편지
[14, 5, 8, 11, 2, 25, 25, 11, 4, 17];디어클라우드;미안해
[7, 24, 3, 6, 6, 21, 21, 7, 2, 18];디어클라우드;안녕 그대 안녕
[8, 12, 8, 3, 8, 13, 30, 4, 1, 17];디어클라우드;shining bright
[6, 4, 8, 4, 1, 13, 4, 5, 1, 1];디어클라우드;my dear
[11, 9, 15, 7, 5, 34, 27, 10, 4, 18];베이식;STARTER
[2, 16, 9, 5, 10, 13, 13, 11, 14, 14];김이지 (꽃잠프로젝트);맴돌아
[3, 14, 5, 3, 4, 12, 10, 4, 4, 5];후아유;꿈속에서
[9, 6, 8, 3, 3, 22, 24, 10, 3, 24];감성소년;잘지내? (Vocal. 정해일)
[3, 5, 2, 1, 3, 11, 7, 0, 0, 5];감성소년;사방이 너라서 (Vocal. 빌리)
[12, 8, 13, 5, 8, 25, 22, 7, 3, 14];감성소년;차오른다 (Vocal. 이상훈 of 훈스)
[4, 6, 5, 3, 4, 20, 23, 12, 1, 16];감성소년;놓을게 (Vocal. 스탠다드원)
[8, 9, 9, 10, 9, 22, 23, 13, 11, 11];어쿠스윗,406호 프로젝트,;안아보고 싶어
[9, 11, 12, 5, 16, 27, 36, 9, 5, 21];덕호씨;I`m Easy (Feat. 허첵)
[22, 9, 16, 7, 7, 50, 34, 20, 3, 14];BEAT IN THE TRAP;담배
[10, 11, 21, 1, 5, 33, 14, 9, 2, 5];케이시 (Kassy);이 노랠 들어요
[3, 13, 3, 5, 5, 12, 13, 13, 3, 7];박용인 (어반 자카파);마음이 될까
[4, 14, 1, 4, 0, 17, 7, 7, 0, 5];G.Soul;시계태엽 (원조 콧수염미남 찰리채플린)
[4, 16, 8, 2, 0, 14, 10, 10, 0, 3];주희;SOFA (이건 젖살이에요 복어아가씨)
[5, 13, 6, 2, 11, 18, 37, 7, 5, 22];고영배;P.S.I love you (지금 몇시? 몹시 좋은 기분 괘종시계)
[2, 11, 3, 2, 14, 18, 62, 19, 7, 14];조 브라운;네가 너무 좋아
[11, 8, 19, 3, 1, 23, 6, 10, 0, 3];서교동의 밤;그새 겨울이... (Feat. 다원, 소망, 민주)
